"Time [ms]","Moving1.Torque [NewtonMeter]"
3.8142,1.56643289442906
3.86055,1.30137552316965
3.91055,1.14556509110373
3.96055,1.08705258124073
4.01055,1.20286268880447
4.06055,1.60448077261259
4.11055,2.31688467454463
4.1565,2.78277374129961
4.2065,2.87006365517922
4.2565,3.01310296306523
4.3065,3.05827986465531
4.3565,3.02705260712319
4.4065,3.17173922033077
4.4565,3.30361675344477
4.5065,3.30314490231423
4.5565,3.44042229251336
4.6065,3.65492771038715
4.6565,3.69234386117213
4.7065,3.69587135756762
4.7565,3.81112050385582
4.8065,3.80796281163602
4.8565,3.72128994014544
4.9065,3.82009569716821
4.95035,3.91521509012062
4.95085,3.91483963863941
4.95135,3.89709528222844
4.97365,3.1521307781978
4.9974,2.54342647226283
5.02335,2.050803713474
5.03425,1.90872608163475
5.03475,1.90272222579572
5.03525,1.89684058274466
5.0722,1.61255138919781
5.1175,1.38081367574351
5.1675,1.17552911861914
5.2175,1.07286929054788
5.2675,1.24481189371367
5.3175,1.69363166409653
5.3675,2.30753678648057
5.4169,2.67820057671662
5.4669,2.90457605226675
5.5169,2.86440075226492
5.5669,2.91066359917225
5.6169,3.12032075259762
5.66689999999999,3.12504346161206
5.71689999999999,3.16453974629918
5.76689999999999,3.31125136802963
5.81689999999999,3.43284122669171
5.86689999999999,3.52150512157012
5.91689999999999,3.5786602404547
5.96689999999999,3.74285185666767
6.01689999999999,3.68517611705776
6.06689999999999,3.71177137715485
6.11689999999999,3.80820960399978
6.16689999999999,3.7667658147089
6.20889999999999,3.7627999125348
6.20939999999999,3.76378065434583
6.20989999999999,3.74689170152053
6.23229999999999,3.04280958380994
6.25589999999999,2.46291324454318
6.28114999999999,2.09992312358712
6.29279999999999,1.95477822846347
6.29329999999999,1.94862050744226
6.29379999999999,1.9424304505549
6.33069999999999,1.57165582917044
6.37639999999999,1.30173235032983
6.42639999999999,1.17669370950657
6.47639999999999,1.17481939317213
6.52639999999999,1.37744670504639
6.57639999999999,1.94835591811932
6.62639999999999,2.7515742063508
6.67639999999999,3.1686181561516
6.72639999999999,3.2603294037413
6.77639999999999,3.4097336653604
6.82639999999999,3.42942819152771
6.87639999999999,3.52033165472603
6.92639999999999,3.62065982493449
6.97639999999999,3.72386380667837
7.02639999999999,3.76729519852991
7.07639999999999,3.93808563560857
7.12639999999999,4.13033374182626
7.17639999999999,4.15532629526844
7.22639999999999,4.22611912409609
7.27639999999999,4.29417256220657
7.32639999999999,4.23062956927435
7.37639999999999,4.19858686655914
7.42639999999998,4.25205419818036
7.46744999999998,4.33207423522895
7.46794999999998,4.33159853792058
7.46844999999998,4.31318193151734
7.49134999999998,3.48764544407736
7.51509999999998,2.78103976101983
7.53954999999998,2.26026398452301
7.55134999999998,2.09369859961477
7.55184999999998,2.08685512369864
7.55234999999998,2.0800637680035
7.58574999999998,1.73649078567005
7.62604999999998,1.49195496517836
7.67604999999998,1.25023619305523
7.72604999999998,1.11384439567875
7.77604999999998,1.20742255703027
7.82604999999998,1.56299553448019
7.87604999999998,2.14799149426451
7.92604999999998,2.67211183308005
7.97119999999998,3.01658842457351
8.02119999999998,2.96821314544348
8.07119999999998,2.96776711159544
8.12119999999998,3.12039067690161
8.17119999999998,3.18495246341348
8.22119999999998,3.18044550124511
8.27119999999998,3.31684122252478
8.32119999999998,3.46916166730234
8.37119999999998,3.5223080266098
8.42119999999998,3.63317523763905
8.47119999999998,3.78255907993135
8.52119999999998,3.76428088800245
8.57119999999998,3.72419631834914
8.62119999999998,3.82080584120083
8.67119999999998,3.82196858797146
8.72119999999998,3.77181982476422
8.72599999999998,3.78105514507477
8.72649999999998,3.78161955055534
8.72699999999998,3.76496151169894
8.74959999999998,3.09098536173383
8.77334999999998,2.54514410370032
8.79884999999998,2.14299202648994
8.80994999999998,2.00126967067015
8.81044999999998,1.99508646629872
8.81094999999998,1.98896733407553
8.84839999999998,1.61525637786256
8.89489999999998,1.30563539636015
8.94489999999998,1.17625329325234
8.99489999999998,1.1155447888074
9.04489999999998,1.24575530827153
9.09489999999998,1.66480582682346
9.14489999999998,2.35869032220906
9.19049999999998,2.77618084667093
9.24049999999998,2.81521982618749
9.29049999999998,2.93739456259633
9.34049999999998,2.9753980546887
9.39049999999998,2.99461170532782
9.44049999999998,3.06697187289404
9.49049999999997,3.23217871587894
9.54049999999997,3.24620370508048
9.59049999999997,3.3858077889861
9.64049999999997,3.61725566253326
9.69049999999997,3.64118696523335
9.74049999999997,3.67991869413904
9.79049999999997,3.76026036997961
9.84049999999997,3.74030785647181
9.89049999999997,3.68184154526989
9.94049999999997,3.73040193301405
9.98459999999997,3.85735605638959
9.98509999999997,3.85630239004789
9.98559999999997,3.83819516726745
10,3.3263571741262
